Title, Price, Images  
Echinofossulocactus ochoterenae,$ 8.99
Mammillaria nejapensis silver arrows,$ 9.99
Echinocereus lauii,$ 8.25
Stenocereus thurberii organ pipe,$ 14.99
Rebutia heliosa,$ 22.99
Gymnocalycium stenogonum,$ 12.99
Echinofossulocactus cinco de mayo,$ 8.50
Hylocereus undatus Pitahaya Dragon Fruit cutting,$ 9.99
Gymnocalycium stellatum asterium,$ 9.99
Frailera gloriosa,$ 10.99
Astrophytum onzuka,$ 29.99
Opuntia Santa Rita Large,$ 16.99
Submatucana aureiflora,$ 9.99
Neochilenia setosiflora,$ 10.99
Lobivia schieleana quiabayensis,$ 10.99
Echinopsis Sierra Grandensis,$ 11.99
Opuntia Mona Lisa,$ 11.99
Lobivia prestoana,$ 10.99
Pilosocereus azureus Large,$ 26.99
Ferocactus emoryi,$ 10.99
Gymnocalycium denudatum brasillense,$ 10.99
Neochilenia Eriosyce odieri,$ 10.99
Lobivia Echinopsis schreiteri,$ 9.99
Lobivia Echinopsis hertrichiana,$ 10.99
Sulcorebutia steinbachii veronikae,$ 9.99
Buiningia brevicylindrica var. longispina,$ 10.99
Mammillaria magnifica,$ 10.99
Opuntia argentiniana Brasiliopuntia brasiliensis,$ 9.99
Pachycereus marginatus Mexican Fence Post Specimen,$ 56.00
Melocactus matanzanus no cephalium,$ 14.99
Turbinicarpus lophophoroides,$ 22.99
Mammillaria moelleriana,$ 9.99
Gymnocalycium Tomina,$ 9.99
Echinopsis melanopotamica,$ 14.99
Hildewintera colademononis,$ 22.99
Gymnocalycium fleischerianum,$ 9.99
Opuntia Santa Rita Pad,$ 7.99
Rebutia minuscula,$ 8.99
Opuntia consolea falcata,$ 11.99
Mammillaria Tezontle,$ 9.99
Lobivia schreiteri,$ 9.99
Ferocactus glaucescens inermis blue barrel,$ 19.99
Echinocereus ferreirianus,$ 14.99
1-18 inch False saguaro Cordon Pachycereus pringleite Specimen,$ 129.00
Euphorbia ammak green,$ 26.99
Opuntia engelmannii Pad,$ 12.99
Gymnocalycium Cordobense chin,$ 9.99
Mammillaria giselae,$ 11.99
Cleistocctus winteri Cristata Golden Rat Tail,$ 14.99
Notocactus elegans,$ 11.99
Hildewintera aureispina crest grafted,$ 14.99
Lobivia Echinopsis maximiliana charazanensis,$ 8.99
1 Pad Opuntia basilaris Beaver Tail,$ 11.99
Espostoa mirabilis,$ 11.99
Neochilenia chilensis flaviflora,$ 9.99
Melocactus azureus ferreophilus,$ 9.99
Mammillaria melaleuca,$ 9.99
Gymnocalycium lukasikii,$ 8.50
Gymnocalycium occultum,$ 9.99
Neoraimondia neocardenasia herzogiana,$ 12.99
Schlumbergera truncata pink Thanksgiving Cactus,$ 9.99
Schlumbergera truncata red Thanksgiving Cactus,$ 9.99
Echinopsis carterpillar crest,$ 14.99
Espostoa churinensis,$ 12.99
Pilosocereus gounellei,$ 12.99
Lobivia longispina,$ 7.99
Mammillaria magnimamma priessnitzii,$ 14.99
Cereus aethiops,$ 14.99
2 inch assorted cactus 4 pack,$ 14.99
2 inch assorted cactus 9 pack,$ 26.00
2 inch assorted cactus 12 pack,$ 30.00
2 inch assorted cactus 16 pack,$ 40.00
2 inch assorted cactus 20 pack,$ 40.00
2 inch assorted cactus 20 pack,$ 40.00
2 inch assorted cactus 25 pack,$ 55.00
2 inch assorted cactus 30 pack,$ 66.00
2 inch assorted cactus 64 pack,$ 139.00
Mammillaria theresae,$ 26.99
Neochilenia heinrichiana setosiflora,$ 8.99
Frailea tenuissima albisetosa,$ 8.99
